label,sublabel,description,styles,bgcolor
燃えるごみ,,,,#ea3b13
燃えないごみ、乾電池,,,,#733b96
拠点収集A,,,,#77ae1f
拠点収集B,,,,#2dc7aa
プラ容器,,,,#409ecc
ペットボトル,,,,#81d12e
アルミ,,,,#27a047
白色トレー、ライター、スプレー缶,,,,#08b925
